SeniorCitizen,Partner,Dependents,PaperlessBilling,MonthlyCharges,TotalCharges,Churn,tenureBins,gender_Female,gender_Male,Contract_Month-to-month,Contract_One year,Contract_Two year,PaymentMethod_Bank transfer (automatic),PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check,PhoneServiceBins,InternetServiceBins
0,1,0,1,-0.7451701931922723,-0.4050083102493075,False,0.0,True,False,True,False,False,False,False,True,False,0.0,0.5714285714285714
0,0,0,0,-0.24655013799448008,0.14447276084949218,False,0.5,False,True,False,True,False,False,False,False,True,0.6666666666666666,0.6428571428571428
0,0,0,1,-0.3035878564857405,-0.38187257617728526,True,0.0,False,True,True,False,False,False,False,False,True,0.6666666666666666,0.6428571428571428
0,0,0,0,-0.516099356025759,0.13006832871652818,False,0.5,False,True,False,True,False,True,False,False,False,0.0,0.7142857142857142
0,0,0,1,0.006439742410303745,-0.3690193905817174,True,0.0,True,False,True,False,False,False,False,True,False,0.6666666666666666,0.5714285714285714
0,0,0,1,0.5390984360625578,-0.1713905817174515,True,0.0,True,False,True,False,False,False,False,True,False,1.0,0.7857142857142857
0,0,1,1,0.344986200551978,0.1621717451523546,False,0.5,False,True,True,False,False,False,True,False,False,1.0,0.7142857142857142
0,0,0,0,-0.7470101195952161,-0.32462419205909515,False,0.0,True,False,True,False,False,False,False,False,True,0.0,0.5714285714285714
0,1,0,1,0.6338546458141675,0.4862049861495846,True,0.5,True,False,True,False,False,False,False,True,False,1.0,0.8571428571428571
0,0,1,0,-0.26126954921803125,0.616775623268698,False,1.0,False,True,False,True,False,True,False,False,False,0.6666666666666666,0.6428571428571428
0,1,1,1,-0.37534498620055184,-0.24025115420129267,False,0.5,False,True,True,False,False,False,False,False,True,0.6666666666666666,0.5714285714285714
0,0,0,0,-0.9457221711131554,-0.3172668513388735,False,0.5,False,True,False,False,True,False,True,False,False,0.6666666666666666,0.0
0,1,0,0,0.5519779208831648,1.264797783933518,False,1.0,False,True,False,True,False,False,True,False,False,1.0,0.7857142857142857
0,0,0,1,0.613615455381785,1.074275161588181,True,1.0,False,True,True,False,False,True,False,False,False,1.0,0.8571428571428571
0,0,0,1,0.6467341306347748,0.3798337950138505,False,0.5,False,True,True,False,False,False,False,True,False,0.6666666666666666,0.9285714285714285
0,1,1,0,0.7893284268629257,1.918995383194829,False,1.0,True,False,False,False,True,False,True,False,False,1.0,1.0
0,0,0,0,-0.9144434222631095,-0.11157156048014771,False,1.0,True,False,False,True,False,False,False,False,True,0.6666666666666666,0.0
0,0,1,0,0.6688132474701014,1.7674459833795013,False,1.0,False,True,False,False,True,True,False,False,False,1.0,0.8571428571428571
0,1,1,0,-0.27874885004599803,-0.25771375807940905,True,0.0,True,False,True,False,False,False,True,False,False,0.6666666666666666,0.6428571428571428
0,0,0,1,0.3624655013799449,0.13661311172668517,False,0.5,True,False,True,False,False,False,False,True,False,0.6666666666666666,0.7857142857142857
1,0,0,1,-0.5648574057037719,-0.40211265004616803,True,0.0,False,True,True,False,False,False,False,True,False,0.0,0.6428571428571428
0,1,0,0,-0.9300827966881325,-0.35406832871652816,False,0.5,False,True,False,True,False,True,False,False,False,0.6666666666666666,0.0
0,0,0,0,-0.9236430542778289,-0.4078744228993536,True,0.0,False,True,True,False,False,False,False,False,True,0.6666666666666666,0.0
0,1,0,1,-0.19227230910763562,0.6218430286241922,False,1.0,True,False,False,False,True,False,True,False,False,1.0,0.6428571428571428
0,1,1,0,-0.19779208831646722,0.4638227146814405,False,1.0,False,True,True,False,False,False,True,False,False,0.6666666666666666,0.7142857142857142
0,0,0,1,-0.27690892364305425,0.03842659279778392,False,0.5,True,False,True,False,False,True,False,False,False,0.6666666666666666,0.6428571428571428
0,1,1,1,0.5335786568537259,0.9894293628808862,True,0.5,False,True,True,False,False,False,False,True,False,1.0,0.7857142857142857
0,1,1,0,-0.7387304507819686,-0.40490489381348105,True,0.0,False,True,True,False,False,False,False,True,False,0.0,0.5714285714285714
0,1,0,1,0.3661453541858327,1.4681883656509693,False,1.0,False,True,False,False,True,False,True,False,False,1.0,0.9285714285714285
0,0,1,1,-0.1039558417663292,-0.09084395198522624,True,0.5,True,False,True,False,False,False,False,False,True,0.6666666666666666,0.6428571428571428
1,1,0,1,0.4783808647654094,1.5856398891966759,False,1.0,True,False,False,False,True,False,True,False,False,1.0,0.8571428571428571
1,1,0,1,0.46274149034038653,-0.36015512465373956,False,0.0,False,True,True,False,False,False,True,False,False,0.6666666666666666,0.7857142857142857
0,1,1,0,-0.07727690892364285,0.14002585410895663,False,0.5,True,False,False,True,False,False,False,False,True,0.6666666666666666,0.7857142857142857
0,0,0,0,-0.9227230910763569,-0.407859649122807,False,0.0,False,True,True,False,False,True,False,False,False,0.6666666666666666,0.0
1,0,0,0,-0.4618215271389144,-0.4004579870729455,False,0.0,False,True,True,False,False,True,False,False,False,0.6666666666666666,0.5
0,1,1,0,0.5436982520699175,1.728871652816251,False,1.0,True,False,False,False,True,True,False,False,False,1.0,0.8571428571428571
0,0,0,1,-0.011959521619135079,-0.32019205909510623,True,0.0,False,True,True,False,False,False,False,True,False,0.6666666666666666,0.5714285714285714
0,0,0,1,0.08187672493100281,0.6346075715604802,False,0.5,True,False,True,False,False,False,True,False,False,0.6666666666666666,0.6428571428571428
0,0,0,1,0.6623735050597976,0.6348882733148661,True,0.5,False,True,True,False,False,False,False,True,False,1.0,0.8571428571428571
0,0,0,1,0.5059797608095676,-0.08720960295475527,True,0.0,True,False,True,False,False,True,False,False,False,1.0,0.7857142857142857
0,1,1,0,-0.38270469181232747,-0.2732705447830101,False,0.0,False,True,False,True,False,False,False,False,True,0.6666666666666666,0.5714285714285714
0,1,1,1,-0.02115915363385449,1.0258319482917821,False,1.0,True,False,False,False,True,False,True,False,False,1.0,0.7142857142857142
0,1,1,0,-0.9126034958601655,-0.2902456140350877,False,0.5,True,False,False,True,False,False,False,False,True,0.6666666666666666,0.0
0,0,0,1,0.17479300827966884,1.0226112650046166,False,1.0,True,False,False,False,True,False,True,False,False,1.0,0.8571428571428571
